customer_id,city,signup_date,customer_tier,preferred_contact_method,signup_year,signup_month,signup_quarter
56275,Unknown,2026-03-04,Bronze,Email,2026.0,3.0,1.0
16308,Pretoria,2022-09-15,Silver,Email,2022.0,9.0,3.0
5353,Pretoria,2023-12-03,Silver,Email,2023.0,12.0,4.0
1414,Unknown,2025-05-06,Silver,Sms,2025.0,5.0,2.0
38868,Johannesburg,2025-09-27,Bronze,Email,2025.0,9.0,3.0
21432,Unknown,2024-02-13,Silver,Sms,2024.0,2.0,1.0
35581,Johannesburg,2021-07-28,Bronze,Call,2021.0,7.0,3.0
30653,Unknown,2020-01-25,Silver,Call,2020.0,1.0,1.0
13655,Johannesburg,2025-07-12,Silver,Email,2025.0,7.0,3.0
38281,Unknown,2025-09-24,Silver,Whatsapp,2025.0,9.0,3.0
49519,Cape Town,2022-05-13,Bronze,Call,2022.0,5.0,2.0
46651,Johannesburg,2022-09-20,Gold,Sms,2022.0,9.0,3.0
32857,Johannesburg,2024-09-06,Bronze,Email,2024.0,9.0,3.0
33768,Cape Town,2023-09-21,Silver,Email,2023.0,9.0,3.0
11367,Cape Town,2021-09-24,Bronze,Call,2021.0,9.0,3.0
48195,Cape Town,2023-01-04,Bronze,Call,2023.0,1.0,1.0
2428,Durban,2022-06-27,Silver,Email,2022.0,6.0,2.0
15232,Cape Town,2024-03-09,Silver,Whatsapp,2024.0,3.0,1.0
7298,Unknown,2022-12-06,Bronze,Call,2022.0,12.0,4.0
22936,Cape Town,2023-07-12,Bronze,Call,2023.0,7.0,3.0
45618,Unknown,2022-11-20,Bronze,Email,2022.0,11.0,4.0
29199,Pretoria,2022-03-21,Bronze,Email,2022.0,3.0,1.0
16342,Unknown,2023-06-19,Bronze,Email,2023.0,6.0,2.0
4135,Cape Town,2024-10-08,Bronze,Email,2024.0,10.0,4.0
27290,Cape Town,2021-03-22,Bronze,Email,2021.0,3.0,1.0
13099,Durban,2025-05-20,Silver,Call,2025.0,5.0,2.0
52570,Pretoria,2021-02-17,Bronze,Email,2021.0,2.0,1.0
36349,Pretoria,2025-01-28,Bronze,Email,2025.0,1.0,1.0
1916,Cape Town,2024-12-19,Bronze,Whatsapp,2024.0,12.0,4.0
36642,Johannesburg,2021-02-10,Bronze,Sms,2021.0,2.0,1.0
42079,Cape Town,2023-09-19,Silver,Whatsapp,2023.0,9.0,3.0
11027,Unknown,2024-02-28,Gold,Call,2024.0,2.0,1.0
7929,Durban,2025-11-04,Silver,Whatsapp,2025.0,11.0,4.0
31693,Unknown,2025-12-06,Gold,Email,2025.0,12.0,4.0
30423,Unknown,2025-10-12,Bronze,Email,2025.0,10.0,4.0
35185,Cape Town,2021-12-11,Gold,Email,2021.0,12.0,4.0
40617,Cape Town,2023-10-26,Silver,Email,2023.0,10.0,4.0
27619,Johannesburg,2024-12-28,Bronze,Sms,2024.0,12.0,4.0
52399,Pretoria,2023-05-20,Silver,Email,2023.0,5.0,2.0
54326,Unknown,2021-02-11,Bronze,Call,2021.0,2.0,1.0
8481,Pretoria,2021-11-06,Silver,Email,2021.0,11.0,4.0
36547,Pretoria,2024-09-03,Silver,Sms,2024.0,9.0,3.0
15081,Cape Town,2024-12-18,Bronze,Email,2024.0,12.0,4.0
53677,Unknown,2021-07-04,Silver,Email,2021.0,7.0,3.0
33330,Pretoria,2022-02-18,Gold,Sms,2022.0,2.0,1.0
15679,Cape Town,2025-05-29,Silver,Email,2025.0,5.0,2.0
17583,Durban,2021-10-11,Silver,Email,2021.0,10.0,4.0
40325,Cape Town,2023-04-11,Bronze,Email,2023.0,4.0,2.0
17052,Cape Town,2022-04-29,Bronze,Email,2022.0,4.0,2.0
17791,Unknown,2026-05-14,Bronze,Email,2026.0,5.0,2.0
55402,Cape Town,2024-04-20,Silver,Sms,2024.0,4.0,2.0
9809,Unknown,2023-06-22,Silver,Email,2023.0,6.0,2.0
7529,Pretoria,2025-03-12,Bronze,Sms,2025.0,3.0,1.0
19527,Pretoria,2024-10-29,Silver,Whatsapp,2024.0,10.0,4.0
57033,Johannesburg,2023-12-07,Silver,Call,2023.0,12.0,4.0
50859,Unknown,2021-07-21,Bronze,Call,2021.0,7.0,3.0
3859,Johannesburg,2022-03-02,Bronze,Call,2022.0,3.0,1.0
13268,Unknown,2023-09-20,Bronze,Sms,2023.0,9.0,3.0
40403,Unknown,2020-07-14,Silver,Email,2020.0,7.0,3.0
9237,Pretoria,2023-05-20,Bronze,Email,2023.0,5.0,2.0
1297,Pretoria,2025-05-22,Gold,Email,2025.0,5.0,2.0
28813,Cape Town,2026-02-24,Gold,Sms,2026.0,2.0,1.0
51803,Cape Town,2024-10-09,Silver,Email,2024.0,10.0,4.0
53771,Johannesburg,2026-03-09,Silver,Email,2026.0,3.0,1.0
6430,Durban,2021-12-23,Bronze,Email,2021.0,12.0,4.0
38493,Pretoria,2026-03-21,Bronze,Email,2026.0,3.0,1.0
49370,Pretoria,2025-06-18,Silver,Email,2025.0,6.0,2.0
45236,Durban,2025-06-12,Silver,Email,2025.0,6.0,2.0
39113,Unknown,2026-06-15,Silver,Email,2026.0,6.0,2.0
546,Johannesburg,2023-03-29,Gold,Email,2023.0,3.0,1.0
6992,Durban,2026-05-14,Bronze,Whatsapp,2026.0,5.0,2.0
56958,Durban,2021-03-19,Bronze,Whatsapp,2021.0,3.0,1.0
52112,Cape Town,2021-10-01,Bronze,Email,2021.0,10.0,4.0
33025,Johannesburg,2024-05-04,Bronze,Whatsapp,2024.0,5.0,2.0
11381,Durban,2025-07-23,Silver,Sms,2025.0,7.0,3.0
39798,Pretoria,2025-01-15,Gold,Sms,2025.0,1.0,1.0
52235,Cape Town,2024-08-20,Bronze,Email,2024.0,8.0,3.0
33195,Pretoria,2022-05-07,Silver,Email,2022.0,5.0,2.0
52780,Johannesburg,2023-06-20,Bronze,Email,2023.0,6.0,2.0
7021,Cape Town,2025-02-07,Silver,Email,2025.0,2.0,1.0
46876,Unknown,2022-01-17,Silver,Call,2022.0,1.0,1.0
1054,Unknown,2025-01-04,Bronze,Email,2025.0,1.0,1.0
26676,Johannesburg,2023-05-21,Gold,Whatsapp,2023.0,5.0,2.0
30744,Pretoria,2026-02-06,Bronze,Email,2026.0,2.0,1.0
41766,Unknown,2023-05-06,Bronze,Email,2023.0,5.0,2.0
25970,Cape Town,2023-07-31,Silver,Email,2023.0,7.0,3.0
47382,Cape Town,2021-05-16,Bronze,Email,2021.0,5.0,2.0
49344,Cape Town,2025-08-11,Silver,Whatsapp,2025.0,8.0,3.0
35019,Cape Town,2026-01-15,Silver,Email,2026.0,1.0,1.0
5100,Cape Town,2025-12-13,Silver,Email,2025.0,12.0,4.0
52946,Pretoria,2024-08-17,Bronze,Email,2024.0,8.0,3.0
53427,Unknown,2026-02-18,Silver,Email,2026.0,2.0,1.0
18046,Unknown,2021-07-21,Bronze,Email,2021.0,7.0,3.0
58795,Pretoria,2022-03-02,Bronze,Email,2022.0,3.0,1.0
22764,Durban,2024-04-11,Bronze,Sms,2024.0,4.0,2.0
22169,Unknown,2022-06-03,Silver,Whatsapp,2022.0,6.0,2.0
28021,Unknown,2023-10-23,Silver,Email,2023.0,10.0,4.0
48552,Johannesburg,2026-03-10,Bronze,Email,2026.0,3.0,1.0
9441,Johannesburg,2021-03-16,Bronze,Whatsapp,2021.0,3.0,1.0
57338,Pretoria,2026-01-25,Bronze,Sms,2026.0,1.0,1.0
4610,Cape Town,2025-09-07,Bronze,Email,2025.0,9.0,3.0
40004,Unknown,2023-03-31,Gold,Email,2023.0,3.0,1.0
24423,Pretoria,2026-03-19,Bronze,Call,2026.0,3.0,1.0
18705,Durban,2023-08-13,Silver,Email,2023.0,8.0,3.0
6953,Unknown,2021-09-07,Bronze,Email,2021.0,9.0,3.0
5548,Cape Town,2023-09-17,Gold,Email,2023.0,9.0,3.0
49693,Cape Town,2025-04-25,Bronze,Email,2025.0,4.0,2.0
25592,Unknown,2025-11-19,Bronze,Email,2025.0,11.0,4.0
26307,Pretoria,2023-11-12,Silver,Call,2023.0,11.0,4.0
33436,Pretoria,2023-09-14,Silver,Email,2023.0,9.0,3.0
12174,Unknown,2022-09-08,Bronze,Email,2022.0,9.0,3.0
30216,Unknown,2023-01-16,Silver,Email,2023.0,1.0,1.0
52080,Durban,2021-02-02,Bronze,Whatsapp,2021.0,2.0,1.0
32194,Pretoria,2023-03-24,Bronze,Email,2023.0,3.0,1.0
36960,Durban,2022-05-02,Gold,Email,2022.0,5.0,2.0
18133,Pretoria,2022-05-08,Gold,Email,2022.0,5.0,2.0
53729,Cape Town,2021-05-14,Silver,Call,2021.0,5.0,2.0
43038,Unknown,2021-04-05,Bronze,Sms,2021.0,4.0,2.0
37091,Durban,2022-04-06,Silver,Email,2022.0,4.0,2.0
38900,Durban,2023-05-04,Bronze,Call,2023.0,5.0,2.0
13606,Cape Town,2025-05-17,Silver,Email,2025.0,5.0,2.0
57584,Unknown,2026-06-19,Bronze,Whatsapp,2026.0,6.0,2.0
16180,Durban,2021-01-25,Silver,Email,2021.0,1.0,1.0
8771,Cape Town,2025-07-27,Bronze,Call,2025.0,7.0,3.0
20135,Pretoria,2021-09-19,Bronze,Email,2021.0,9.0,3.0
8590,Pretoria,2022-03-28,Bronze,Whatsapp,2022.0,3.0,1.0
13804,Cape Town,2021-03-22,Bronze,Email,2021.0,3.0,1.0
37834,Durban,2021-03-18,Bronze,Email,2021.0,3.0,1.0
29119,Unknown,2022-08-09,Bronze,Email,2022.0,8.0,3.0
4193,Pretoria,2026-02-13,Bronze,Email,2026.0,2.0,1.0
39555,Pretoria,2023-01-23,Gold,Email,2023.0,1.0,1.0
19658,Durban,2021-01-02,Silver,Email,2021.0,1.0,1.0
34710,Unknown,2022-05-19,Silver,Email,2022.0,5.0,2.0
12710,Cape Town,2025-05-28,Bronze,Whatsapp,2025.0,5.0,2.0
23829,Pretoria,2022-07-17,Gold,Email,2022.0,7.0,3.0
41219,Pretoria,2025-09-04,Gold,Email,2025.0,9.0,3.0
14865,Pretoria,2024-04-26,Gold,Email,2024.0,4.0,2.0
22768,Durban,2024-08-01,Bronze,Email,2024.0,8.0,3.0
49505,Durban,2025-04-30,Silver,Sms,2025.0,4.0,2.0
6272,Pretoria,2022-10-31,Bronze,Call,2022.0,10.0,4.0
29619,Pretoria,2025-07-19,Bronze,Email,2025.0,7.0,3.0
37715,Pretoria,2021-12-10,Silver,Email,2021.0,12.0,4.0
38604,Cape Town,2022-11-20,Gold,Call,2022.0,11.0,4.0
8921,Cape Town,2025-02-21,Bronze,Email,2025.0,2.0,1.0
4608,Cape Town,2026-02-08,Gold,Email,2026.0,2.0,1.0
22918,Durban,2025-02-24,Gold,Call,2025.0,2.0,1.0
43455,Cape Town,2025-08-07,Bronze,Email,2025.0,8.0,3.0
32375,Cape Town,2022-07-08,Bronze,Email,2022.0,7.0,3.0
35446,Durban,2021-06-20,Gold,Email,2021.0,6.0,2.0
18635,Durban,2024-02-19,Bronze,Whatsapp,2024.0,2.0,1.0
15662,Pretoria,2021-09-13,Bronze,Email,2021.0,9.0,3.0
20006,Pretoria,2026-09-03,Silver,Sms,2026.0,9.0,3.0
1677,Cape Town,2023-07-21,Silver,Email,2023.0,7.0,3.0
30851,Johannesburg,2022-01-18,Silver,Whatsapp,2022.0,1.0,1.0
38650,Cape Town,2024-03-20,Silver,Email,2024.0,3.0,1.0
38873,Pretoria,2022-09-10,Bronze,Email,2022.0,9.0,3.0
11383,Cape Town,2025-09-19,Silver,Sms,2025.0,9.0,3.0
47824,Pretoria,2025-10-28,Silver,Email,2025.0,10.0,4.0
47308,Cape Town,2026-04-18,Silver,Email,2026.0,4.0,2.0
32805,Pretoria,2025-08-19,Silver,Email,2025.0,8.0,3.0
6309,Cape Town,2022-09-04,Bronze,Email,2022.0,9.0,3.0
37186,Durban,2024-02-13,Silver,Whatsapp,2024.0,2.0,1.0
55927,Pretoria,2021-02-28,Bronze,Whatsapp,2021.0,2.0,1.0
37718,Pretoria,2021-07-25,Bronze,Email,2021.0,7.0,3.0
4447,Pretoria,2026-02-16,Gold,Email,2026.0,2.0,1.0
31560,Johannesburg,2024-05-01,Bronze,Email,2024.0,5.0,2.0
39381,Durban,2022-12-02,Bronze,Sms,2022.0,12.0,4.0
25864,Unknown,2021-09-09,Bronze,Sms,2021.0,9.0,3.0
27430,Johannesburg,2021-08-07,Bronze,Email,2021.0,8.0,3.0
20477,Pretoria,2024-06-17,Bronze,Sms,2024.0,6.0,2.0
38074,Pretoria,2024-02-29,Silver,Email,2024.0,2.0,1.0
9136,Unknown,2021-09-23,Gold,Email,2021.0,9.0,3.0
14833,Pretoria,2023-11-05,Bronze,Email,2023.0,11.0,4.0
28250,Cape Town,2021-06-22,Silver,Email,2021.0,6.0,2.0
38833,Pretoria,2021-08-23,Silver,Email,2021.0,8.0,3.0
35973,Pretoria,2024-06-23,Bronze,Email,2024.0,6.0,2.0
48907,Cape Town,2021-04-23,Bronze,Email,2021.0,4.0,2.0
6431,Cape Town,2023-12-07,Gold,Email,2023.0,12.0,4.0
47760,Cape Town,2023-01-28,Bronze,Sms,2023.0,1.0,1.0
14767,Pretoria,2026-03-11,Silver,Call,2026.0,3.0,1.0
41549,Unknown,2021-04-16,Bronze,Email,2021.0,4.0,2.0
53480,Durban,2022-04-08,Bronze,Call,2022.0,4.0,2.0
40804,Cape Town,2021-03-05,Silver,Email,2021.0,3.0,1.0
27443,Pretoria,2026-03-02,Silver,Email,2026.0,3.0,1.0
55156,Pretoria,2021-05-11,Bronze,Call,2021.0,5.0,2.0
46006,Pretoria,2024-10-27,Silver,Call,2024.0,10.0,4.0
21688,Pretoria,2020-10-20,Gold,Email,2020.0,10.0,4.0
12226,Pretoria,2022-09-27,Silver,Sms,2022.0,9.0,3.0
19678,Pretoria,2026-03-25,Bronze,Email,2026.0,3.0,1.0
50132,Unknown,2021-08-28,Bronze,Email,2021.0,8.0,3.0
18340,Pretoria,2021-08-05,Silver,Email,2021.0,8.0,3.0
40945,Unknown,2025-08-15,Bronze,Sms,2025.0,8.0,3.0
41044,Durban,2025-02-18,Bronze,Email,2025.0,2.0,1.0
56277,Unknown,2023-02-17,Gold,Email,2023.0,2.0,1.0
18248,Cape Town,2023-09-07,Gold,Email,2023.0,9.0,3.0
46855,Pretoria,2025-08-18,Bronze,Email,2025.0,8.0,3.0
41688,Unknown,2021-05-10,Silver,Email,2021.0,5.0,2.0
45901,Cape Town,2023-09-09,Bronze,Sms,2023.0,9.0,3.0
33289,Cape Town,2022-04-26,Gold,Email,2022.0,4.0,2.0
17076,Johannesburg,2025-09-16,Bronze,Call,2025.0,9.0,3.0
6647,Johannesburg,2024-10-29,Bronze,Email,2024.0,10.0,4.0
11311,Pretoria,2023-09-25,Gold,Email,2023.0,9.0,3.0
27165,Pretoria,2023-07-05,Silver,Email,2023.0,7.0,3.0
268,Pretoria,2023-03-13,Silver,Sms,2023.0,3.0,1.0
5611,Johannesburg,2023-05-25,Bronze,Email,2023.0,5.0,2.0
19039,Durban,2026-06-09,Gold,Email,2026.0,6.0,2.0
4973,Cape Town,2021-08-04,Bronze,Whatsapp,2021.0,8.0,3.0
5667,Pretoria,2025-09-30,Bronze,Call,2025.0,9.0,3.0
37849,Pretoria,2024-09-02,Silver,Call,2024.0,9.0,3.0
9257,Pretoria,2025-09-01,Gold,Call,2025.0,9.0,3.0
52182,Durban,2024-10-24,Silver,Email,2024.0,10.0,4.0
8817,Unknown,2021-12-06,Silver,Email,2021.0,12.0,4.0
15247,Pretoria,2021-06-19,Gold,Email,2021.0,6.0,2.0
8951,Cape Town,2022-04-23,Bronze,Sms,2022.0,4.0,2.0
1048,Pretoria,2023-09-20,Silver,Email,2023.0,9.0,3.0
22676,Pretoria,2025-04-24,Bronze,Email,2025.0,4.0,2.0
55629,Pretoria,2023-09-06,Silver,Email,2023.0,9.0,3.0
37439,Pretoria,2023-08-03,Bronze,Email,2023.0,8.0,3.0
58049,Unknown,2024-06-23,Bronze,Whatsapp,2024.0,6.0,2.0
42553,Cape Town,2023-06-09,Silver,Email,2023.0,6.0,2.0
4144,Pretoria,2024-06-14,Silver,Email,2024.0,6.0,2.0
17554,Cape Town,2022-07-16,Bronze,Email,2022.0,7.0,3.0
6920,Cape Town,2024-08-28,Gold,Call,2024.0,8.0,3.0
35590,Cape Town,2023-05-26,Bronze,Whatsapp,2023.0,5.0,2.0
53550,Cape Town,2024-01-01,Silver,Call,2024.0,1.0,1.0
24308,Pretoria,2023-03-16,Gold,Email,2023.0,3.0,1.0
10096,Pretoria,2022-04-07,Bronze,Email,2022.0,4.0,2.0
20731,Unknown,2022-07-01,Bronze,Email,2022.0,7.0,3.0
48651,Cape Town,2021-11-28,Silver,Email,2021.0,11.0,4.0
48201,Johannesburg,2023-02-10,Bronze,Email,2023.0,2.0,1.0
25361,Durban,2023-05-22,Silver,Email,2023.0,5.0,2.0
42737,Durban,2021-08-27,Silver,Email,2021.0,8.0,3.0
5178,Cape Town,2023-10-17,Silver,Email,2023.0,10.0,4.0
25982,Durban,2023-04-19,Silver,Whatsapp,2023.0,4.0,2.0
26605,Johannesburg,2026-03-29,Silver,Email,2026.0,3.0,1.0
26206,Johannesburg,2025-03-30,Bronze,Email,2025.0,3.0,1.0
977,Unknown,2023-05-09,Silver,Email,2023.0,5.0,2.0
35438,Cape Town,2025-08-08,Gold,Whatsapp,2025.0,8.0,3.0
29647,Johannesburg,2025-09-06,Silver,Email,2025.0,9.0,3.0
46560,Johannesburg,2024-12-25,Silver,Email,2024.0,12.0,4.0
53564,Pretoria,2021-01-05,Silver,Sms,2021.0,1.0,1.0
52342,Unknown,2024-05-02,Bronze,Email,2024.0,5.0,2.0
55375,Pretoria,2021-02-27,Bronze,Email,2021.0,2.0,1.0
25520,Johannesburg,2024-12-14,Bronze,Email,2024.0,12.0,4.0
47797,Cape Town,2026-06-19,Silver,Call,2026.0,6.0,2.0
32530,Pretoria,2022-04-16,Silver,Email,2022.0,4.0,2.0
33186,Cape Town,2020-01-29,Silver,Email,2020.0,1.0,1.0
39112,Cape Town,2021-06-25,Silver,Email,2021.0,6.0,2.0
41710,Pretoria,2026-05-01,Silver,Sms,2026.0,5.0,2.0
32095,Pretoria,2025-11-07,Gold,Call,2025.0,11.0,4.0
1230,Durban,2025-08-30,Bronze,Whatsapp,2025.0,8.0,3.0
40395,Pretoria,2022-09-18,Bronze,Sms,2022.0,9.0,3.0
29689,Johannesburg,2022-11-30,Silver,Email,2022.0,11.0,4.0
23700,Unknown,2026-05-13,Bronze,Email,2026.0,5.0,2.0
40069,Unknown,2022-12-24,Silver,Email,2022.0,12.0,4.0
27853,Cape Town,2021-02-18,Silver,Email,2021.0,2.0,1.0
25425,Cape Town,2022-11-03,Bronze,Email,2022.0,11.0,4.0
16239,Johannesburg,2021-08-23,Silver,Email,2021.0,8.0,3.0
12068,Cape Town,2021-09-04,Bronze,Email,2021.0,9.0,3.0
4448,Pretoria,2021-04-16,Bronze,Whatsapp,2021.0,4.0,2.0
15814,Cape Town,2025-02-14,Bronze,Email,2025.0,2.0,1.0
58900,Unknown,2021-06-22,Bronze,Email,2021.0,6.0,2.0
21218,Pretoria,2021-01-27,Bronze,Email,2021.0,1.0,1.0
23570,Johannesburg,2021-06-07,Bronze,Email,2021.0,6.0,2.0
24952,Pretoria,2024-06-20,Bronze,Email,2024.0,6.0,2.0
1877,Pretoria,2025-07-10,Gold,Email,2025.0,7.0,3.0
24040,Pretoria,2024-09-05,Gold,Email,2024.0,9.0,3.0
48467,Pretoria,2023-05-16,Silver,Email,2023.0,5.0,2.0
42156,Pretoria,2026-03-27,Bronze,Email,2026.0,3.0,1.0
21037,Pretoria,2026-02-20,Gold,Whatsapp,2026.0,2.0,1.0
46918,Cape Town,2024-05-25,Silver,Email,2024.0,5.0,2.0
50274,Johannesburg,2022-01-12,Bronze,Email,2022.0,1.0,1.0
33260,Johannesburg,2024-10-02,Bronze,Whatsapp,2024.0,10.0,4.0
40460,Durban,2024-08-14,Bronze,Email,2024.0,8.0,3.0
41133,Johannesburg,2025-02-13,Bronze,Email,2025.0,2.0,1.0
26640,Durban,2022-03-24,Silver,Email,2022.0,3.0,1.0
45495,Johannesburg,2023-04-27,Silver,Email,2023.0,4.0,2.0
43781,Johannesburg,2026-05-11,Bronze,Email,2026.0,5.0,2.0
10736,Pretoria,2022-09-17,Gold,Call,2022.0,9.0,3.0
15095,Pretoria,2021-10-29,Bronze,Whatsapp,2021.0,10.0,4.0
42067,Pretoria,2021-11-20,Silver,Email,2021.0,11.0,4.0
26449,Cape Town,2021-09-26,Silver,Whatsapp,2021.0,9.0,3.0
49055,Johannesburg,2023-10-12,Silver,Email,2023.0,10.0,4.0
1986,Unknown,2025-08-23,Bronze,Email,2025.0,8.0,3.0
40817,Johannesburg,2021-10-20,Bronze,Email,2021.0,10.0,4.0
44709,Pretoria,2021-08-22,Bronze,Email,2021.0,8.0,3.0
44973,Pretoria,2024-01-18,Silver,Whatsapp,2024.0,1.0,1.0
50187,Johannesburg,2021-07-07,Gold,Email,2021.0,7.0,3.0
54800,Johannesburg,2022-08-29,Silver,Email,2022.0,8.0,3.0
1203,Durban,2024-07-16,Bronze,Email,2024.0,7.0,3.0
16616,Unknown,2021-01-15,Bronze,Whatsapp,2021.0,1.0,1.0
43867,Pretoria,2026-05-06,Bronze,Email,2026.0,5.0,2.0
47758,Johannesburg,2023-08-11,Bronze,Email,2023.0,8.0,3.0
55944,Pretoria,2022-03-06,Bronze,Whatsapp,2022.0,3.0,1.0
12019,Pretoria,2025-03-19,Silver,Email,2025.0,3.0,1.0
8269,Cape Town,2022-09-01,Silver,Email,2022.0,9.0,3.0
8106,Pretoria,2021-03-22,Silver,Call,2021.0,3.0,1.0
15603,Cape Town,2021-05-18,Gold,Whatsapp,2021.0,5.0,2.0
24675,Johannesburg,2023-08-25,Bronze,Call,2023.0,8.0,3.0
22742,Pretoria,2023-08-18,Silver,Email,2023.0,8.0,3.0
19326,Pretoria,2026-05-25,Bronze,Email,2026.0,5.0,2.0
22150,Johannesburg,2023-09-16,Gold,Email,2023.0,9.0,3.0
