customer_id,city,signup_date,customer_tier,prefered_contact_method
14833,Pretoria,11/5/2023,Bronze,email
28250, cape town ,6/22/2021,Silver,Email
38833,Pretoria,8/23/2021,SILVER,email
35973,Pretoria,23/06/2024,Bronze,Email
48907,Cape Town,4/23/2021,Bronze,Email
6431, cape town ,12/7/2023,Gold, EMAIL 
47760, cape town ,1/28/2023,NULL,sms
14767,Pretoria,3/11/2026,Silver,call
41549, NULL ,4/16/2021,Bronze,Email
53480,Durban,4/8/2022,Bronze,call
40804, cape town ,3/5/2021,SILVER, EMAIL 
27443,Pretoria,3/2/2026,SILVER,Email
55156,Pretoria,"Tuesday, May 11, 2021",Bronze,call
46006,Pretoria,27/10/2024,SILVER,call
21688,Pretoria,10/20/2020,Gold,Email
12226,Pretoria,9/27/2022,SILVER,sms
19678,Pretoria,3/25/2026,Bronze,Email
50132, NULL ,28/08/2021,Bronze,Email
18340,Pretoria,8/5/2021,SILVER,Email
40945, NULL ,8/15/2025,Bronze,sms
41044,Durban,18/02/2025,NULL,email
56277, NULL ,2/17/2023,Gold,Email
18248,Cape Town,9/7/2023,Gold,email
46855,Pretoria,8/18/2025,Bronze,Email
41688, NULL ,5/10/2021,Silver,email
45901, cape town ,9/9/2023,Bronze,sms
33289,Cape Town,26/04/2022,Gold,email
17076,Johannesburg,16/09/2025,NULL,call
6647,Johannesburg,10/29/2024,NULL,Email
11311,Pretoria,9/25/2023,Gold,email
27165,Pretoria,7/5/2023,SILVER, EMAIL 
268,Pretoria,3/13/2023,SILVER,sms
5611,Johannesburg,25/05/2023,Bronze,email
19039,Durban,6/9/2026,Gold,email
4973,Cape Town,8/4/2021,Bronze,whatsapp
5667,Pretoria,"Tuesday, September 30, 2025",Bronze,call
37849,Pretoria,9/2/2024,Silver,call
9257,Pretoria,9/1/2025,Gold,call
52182,Durban,10/24/2024,SILVER,Email
8817, NULL ,12/6/2021,Silver,Email
15247,Pretoria,6/19/2021,Gold,Email
8951, cape town ,23/04/2022,Bronze,sms
1048,Pretoria,9/20/2023,Silver,Email
22676,Pretoria,4/24/2025,Bronze,email
55629,Pretoria,9/6/2023,SILVER,Email
37439,Pretoria,8/3/2023,NULL,email
58049, NULL ,"Sunday, June 23, 2024",Bronze,whatsapp
42553, cape town ,6/9/2023,SILVER, EMAIL 
4144,Pretoria,6/14/2024,Silver,Email
17554, cape town ,7/16/2022,NULL,email
6920, cape town ,8/28/2024,Gold,call
35590, cape town ,5/26/2023,NULL,whatsapp
53550,Cape Town,1/1/2024,Silver,call
24308,Pretoria,3/16/2023,Gold,Email
10096,Pretoria,4/7/2022,Bronze, EMAIL 
20731, NULL ,"Friday, July 1, 2022",Bronze,Email
48651,Cape Town,28/11/2021,SILVER,email
48201,Johannesburg,2/10/2023,Bronze,email
25361,Durban,22/05/2023,SILVER,email
42737,Durban,8/27/2021,SILVER,Email
5178, cape town ,10/17/2023,SILVER,email
25982,Durban,4/19/2023,SILVER,whatsapp
26605,Johannesburg,3/29/2026,SILVER,email
26206,Johannesburg,3/30/2025,NULL, EMAIL 
977, NULL ,5/9/2023,SILVER,Email
35438, cape town ,8/8/2025,Gold,whatsapp
29647,Johannesburg,9/6/2025,Silver, EMAIL 
46560,Johannesburg,12/25/2024,SILVER,Email
53564,Pretoria,1/5/2021,SILVER,sms
52342, NULL ,5/2/2024,NULL, EMAIL 
55375,Pretoria,2/27/2021,NULL,Email
25520,Johannesburg,12/14/2024,Bronze,Email
47797, cape town ,6/19/2026,SILVER,call
32530,Pretoria,4/16/2022,Silver, EMAIL 
33186,Cape Town,1/29/2020,Silver, EMAIL 
39112,Cape Town,6/25/2021,Silver,Email
41710,Pretoria,5/1/2026,SILVER,sms
32095,Pretoria,11/7/2025,Gold,call
1230,Durban,8/30/2025,Bronze,whatsapp
40395,Pretoria,9/18/2022,Bronze,sms
29689,Johannesburg,11/30/2022,SILVER, EMAIL 
23700, NULL ,5/13/2026,Bronze,email
40069, NULL ,12/24/2022,Silver,Email
27853, cape town ,2/18/2021,SILVER,Email
25425,Cape Town,11/3/2022,Bronze,email
16239,Johannesburg,23/08/2021,SILVER,Email
12068,Cape Town,9/4/2021,Bronze,email
4448,Pretoria,16/04/2021,NULL,whatsapp
15814,Cape Town,2/14/2025,Bronze,email
58900, NULL ,6/22/2021,Bronze, EMAIL 
21218,Pretoria,1/27/2021,NULL,Email
23570,Johannesburg,6/7/2021,Bronze,Email
24952,Pretoria,6/20/2024,NULL,email
1877,Pretoria,7/10/2025,Gold, EMAIL 
24040,Pretoria,9/5/2024,Gold,Email
48467,Pretoria,5/16/2023,SILVER,Email
42156,Pretoria,3/27/2026,Bronze,email
21037,Pretoria,2/20/2026,Gold,whatsapp
46918,Cape Town,25/05/2024,Silver,email
50274,Johannesburg,1/12/2022,NULL,Email
33260,Johannesburg,10/2/2024,Bronze,whatsapp
40460,Durban,8/14/2024,Bronze,email
41133,Johannesburg,2/13/2025,NULL,Email
26640,Durban,3/24/2022,SILVER, EMAIL 
45495,Johannesburg,4/27/2023,SILVER,email
43781,Johannesburg,5/11/2026,Bronze,email
10736,Pretoria,17/09/2022,Gold,call
15095,Pretoria,29/10/2021,NULL,whatsapp
42067,Pretoria,11/20/2021,SILVER,Email
26449,Cape Town,9/26/2021,Silver,whatsapp
49055,Johannesburg,10/12/2023,Silver,email
1986, NULL ,23/08/2025,Bronze,email
40817,Johannesburg,10/20/2021,Bronze,Email
44709,Pretoria,8/22/2021,Bronze,Email
44973,Pretoria,18/01/2024,Silver,whatsapp
50187,Johannesburg,7/7/2021,Gold, EMAIL 
54800,Johannesburg,8/29/2022,Silver,Email
1203,Durban,7/16/2024,Bronze, EMAIL 
16616, NULL ,15/01/2021,NULL,whatsapp
43867,Pretoria,"Wednesday, May 6, 2026",Bronze, EMAIL 
47758,Johannesburg,8/11/2023,Bronze,Email
55944,Pretoria,3/6/2022,Bronze,whatsapp
12019,Pretoria,3/19/2025,Silver,email
8269, cape town ,9/1/2022,Silver, EMAIL 
8106,Pretoria,3/22/2021,Silver,call
15603, cape town ,5/18/2021,Gold,whatsapp
24675,Johannesburg,8/25/2023,Bronze,call
22742,Pretoria,18/08/2023,Silver,email
19326,Pretoria,25/05/2026,Bronze,Email
22150,Johannesburg,9/16/2023,Gold,email
12116,Pretoria,6/16/2024,Silver, EMAIL 
50485,Johannesburg,3/18/2025,SILVER,call
9778,Durban,8/24/2022,Bronze,Email
37555, NULL ,11/4/2023,NULL,email
5698,Durban,27/12/2022,Bronze,call
53410,Pretoria,3/20/2024,Bronze,Email
491, cape town ,16/08/2024,Gold,whatsapp
27983,Durban,1/14/2023,Silver,sms
30120, NULL ,3/30/2022,Bronze,email
13811,Johannesburg,22/02/2023,Silver,sms
36975,Pretoria,10/24/2022,Silver,Email
54263,Pretoria,30/08/2021,SILVER,email
54592,Pretoria,11/28/2021,Bronze,call
39525,Johannesburg,12/8/2024,Bronze,email
35615,Pretoria,27/04/2023,SILVER,email
36731, NULL ,21/06/2025,Silver,Email
12165,Pretoria,11/24/2021,NULL,sms
22024, NULL ,5/14/2025,SILVER,email
41883, NULL ,4/14/2025,Gold,sms
43356,Cape Town,1/4/2026,Bronze, EMAIL 
7454, NULL ,7/19/2023,SILVER,whatsapp
30915, NULL ,11/11/2025,SILVER,sms
33750,Cape Town,6/22/2021,Bronze,Email
56200,Pretoria,7/27/2025,NULL,sms
56271, cape town ,15/07/2024,Bronze,whatsapp
24366,Cape Town,4/24/2022,Silver,call
20875,Pretoria,12/6/2021,Bronze,email
23822,Pretoria,7/18/2021,SILVER,sms
37379,Durban,9/24/2024,Silver,email
16005,Pretoria,10/26/2023,SILVER,Email
54776,Durban,12/2/2025,Bronze,email
50848, NULL ,10/16/2024,Gold,Email
50965,Pretoria,6/17/2025,Bronze, EMAIL 
2594,Cape Town,25/02/2026,Gold,sms
56542,Pretoria,9/3/2023,Silver,Email
31199,Pretoria,5/25/2023,Bronze, EMAIL 
55297,Johannesburg,12/17/2023,Bronze,whatsapp
3629,Durban,9/10/2023,NULL,Email
48666,Pretoria,12/26/2021,NULL, EMAIL 
25003,Johannesburg,10/13/2022,Bronze,Email
31623,Cape Town,28/06/2023,Bronze,call
47448,Johannesburg,8/28/2021,Bronze, EMAIL 
34209,Durban,14/08/2022,Gold, EMAIL 
7022, cape town ,5/18/2026,Bronze,email
39683,Cape Town,"Monday, June 19, 2023",Bronze,email
57191,Pretoria,9/3/2026,SILVER,sms
1198, cape town ,3/25/2025,Bronze,call
7051,Durban,1/15/2024,SILVER,Email
36160,Pretoria,8/13/2020,Gold, EMAIL 
5454,Cape Town,3/2/2022,Gold,email
5039,Cape Town,7/19/2024,NULL,whatsapp
57529,Durban,1/9/2022,Bronze,Email
45505, NULL ,7/5/2023,Gold,whatsapp
27552,Cape Town,9/16/2022,Bronze,Email
42941,Pretoria,1/12/2023,Silver,email
55632,Johannesburg,23/06/2022,SILVER,whatsapp
57767,Pretoria,12/12/2023,Gold,call
17632,Pretoria,4/13/2023,Gold,whatsapp
44645,Pretoria,11/14/2024,Gold, EMAIL 
29935,Pretoria,12/2/2025,Bronze,sms
26740,Pretoria,8/21/2021,Bronze,email
12836,Pretoria,1/1/2026,Gold,Email
40478,Pretoria,10/20/2025,Gold,whatsapp
53113,Pretoria,3/13/2025,SILVER, EMAIL 
32067,Durban,2/12/2023,Bronze,whatsapp
8964,Durban,11/2/2024,Silver,whatsapp
18052,Cape Town,1/19/2025,Bronze,whatsapp
39600,Durban,27/04/2023,SILVER,email
17338,Durban,1/1/2024,Gold,email
57548,Cape Town,"Friday, January 2, 2026",Bronze,call
12748, NULL ,7/3/2025,Silver,Email
35418,Durban,24/01/2024,NULL,sms
3779,Pretoria,10/9/2025,NULL, EMAIL 
47817,Johannesburg,3/4/2022,Bronze,Email
48101,Durban,12/1/2026,Silver,Email
20661,Cape Town,1/3/2024,NULL, EMAIL 
10374,Cape Town,9/24/2024,Bronze,Email
15284,Johannesburg,1/18/2024,Bronze,email
57681,Pretoria,"Friday, February 14, 2025",Bronze,Email
56208,Johannesburg,2/2/2022,NULL,Email
28731,Pretoria,5/8/2025,SILVER,call
21673, NULL ,7/20/2022,Silver,Email
10047,Cape Town,12/23/2022,Gold,call
2461,Johannesburg,8/14/2024,Bronze,Email
38119,Pretoria,8/17/2023,Silver,Email
51588,Durban,2/2/2026,SILVER,call
37159,Johannesburg,5/19/2026,Gold,Email
33818,Durban,26/09/2025,Silver,email
15800,Pretoria,5/12/2025,Silver,email
12727, NULL ,7/12/2024,SILVER,whatsapp
34827, cape town ,9/23/2023,SILVER, EMAIL 
48088,Pretoria,5/3/2023,Bronze,whatsapp
17961,Durban,22/05/2022,Gold,Email
43519,Pretoria,26/09/2025,Gold, EMAIL 
15467,Cape Town,5/8/2021,NULL,whatsapp
44249,Pretoria,11/21/2022,NULL,call
3267, NULL ,4/16/2022,SILVER, EMAIL 
6926, NULL ,22/04/2021,Gold,call
10556,Johannesburg,8/6/2023,Gold,sms
2501, NULL ,9/1/2025,Bronze,Email
51975,Durban,8/3/2022,SILVER, EMAIL 
29508,Cape Town,23/07/2024,Bronze,whatsapp
52624,Pretoria,5/3/2025,Silver,email
24034, cape town ,17/07/2021,NULL,Email
26828, NULL ,6/26/2026,Gold,Email
37513,Pretoria,10/10/2024,NULL,whatsapp
54005,Durban,26/04/2024,Gold,Email
12262, NULL ,10/10/2023,Bronze,Email
23096,Johannesburg,9/1/2021,SILVER,call
22673,Pretoria,10/15/2025,SILVER,email
44964,Pretoria,3/29/2026,Silver,whatsapp
48248,Durban,1/3/2026,NULL,Email
46953,Pretoria,24/04/2025,SILVER,Email
180,Durban,3/27/2023,Silver,sms
49379, cape town ,5/5/2023,Gold,Email
53049,Durban,11/2/2021,Gold,call
20203,Pretoria,6/28/2026,SILVER,sms
17412, NULL ,4/5/2024,NULL,email
14904, cape town ,7/22/2022,SILVER,Email
47305,Pretoria,6/12/2026,Bronze, EMAIL 
15548,Pretoria,4/1/2026,Silver,email
4141, cape town ,4/23/2021,SILVER,Email
2860,Pretoria,13/02/2021,Bronze,Email
22690,Pretoria,6/30/2024,NULL,Email
24684,Johannesburg,9/22/2024,Gold,Email
24708, cape town ,2/15/2022,SILVER,Email
13336, cape town ,8/13/2022,Bronze,Email
12751, NULL ,7/9/2023,Bronze, EMAIL 
32244,Durban,1/24/2026,Bronze,Email
39285, cape town ,5/14/2024,Bronze, EMAIL 
51948,Johannesburg,10/9/2024,Bronze,sms
9198,Cape Town,4/24/2023,Gold,Email
28148, NULL ,5/18/2026,SILVER,whatsapp
33480,Pretoria,5/22/2026,SILVER,Email
43535,Cape Town,5/19/2024,Bronze,Email
12092, NULL ,3/15/2022,NULL,sms
49546,Johannesburg,8/29/2025,NULL,whatsapp
52822, NULL ,12/6/2024,Bronze,whatsapp
44505,Johannesburg,3/4/2025,Gold,email
31312,Cape Town,2/18/2022,Bronze,call
38498,Pretoria,5/22/2026,NULL,Email
4090,Durban,5/7/2026,Silver,call
15262,Durban,10/25/2022,NULL,email
7223,Pretoria,7/6/2025,Gold, EMAIL 
33840, NULL ,12/19/2025,Bronze,whatsapp
55890, NULL ,15/07/2023,Gold,sms
17331,Pretoria,6/1/2026,Bronze,email
28808,Johannesburg,4/5/2023,SILVER,Email
24408,Pretoria,2/28/2026,Bronze, EMAIL 
7720,Pretoria,10/21/2021,Bronze,Email
40532,Pretoria,6/15/2023,Silver,whatsapp
4820,Pretoria,27/09/2024,NULL,Email
34356,Pretoria,1/9/2025,SILVER,Email
4438,Johannesburg,2/14/2023,Bronze, EMAIL 
48683,Cape Town,5/14/2025,NULL,Email
11563,Pretoria,7/24/2021,Silver,whatsapp
40237, cape town ,4/7/2026,Bronze,whatsapp
17509,Pretoria,7/1/2022,SILVER,email
34937,Johannesburg,8/10/2023,Bronze, EMAIL 
8292,Cape Town,4/17/2025,Bronze,Email
47402,Cape Town,17/02/2024,Gold,call
37107,Cape Town,6/6/2026,Gold,whatsapp
10281,Durban,7/13/2022,Bronze,whatsapp
6126,Pretoria,"Tuesday, December 6, 2022",Bronze,call
1762,Pretoria,2/11/2025,Gold,Email
10887,Cape Town,17/07/2024,SILVER,Email
13255, NULL ,12/12/2022,SILVER,whatsapp
29143,Pretoria,4/25/2021,Bronze, EMAIL 
38105,Johannesburg,10/15/2023,Gold,call
37514,Durban,19/11/2021,SILVER,Email
32320,Cape Town,10/21/2025,Bronze,whatsapp
44305,Durban,7/12/2022,Bronze,email
33032, cape town ,4/4/2023,Bronze,Email
8359,Johannesburg,12/19/2025,SILVER,Email
48401,Johannesburg,8/7/2021,Silver,Email
38191,Johannesburg,1/28/2024,Gold,sms
22908,Durban,28/10/2024,NULL, EMAIL 
16558,Pretoria,12/21/2025,Bronze,Email
27697,Cape Town,29/04/2022,Bronze,Email
21106,Durban,24/12/2022,Bronze,Email
28261,Cape Town,20/01/2026,NULL,sms
14311, cape town ,5/29/2023,SILVER,sms
49094, NULL ,12/31/2023,SILVER,whatsapp
40577,Cape Town,2/7/2026,SILVER,sms
23863,Cape Town,1/18/2022,Gold,email
15404,Durban,28/08/2025,Gold, EMAIL 
33153, NULL ,9/28/2022,Gold,Email
39047,Cape Town,10/17/2025,NULL,call
29303, cape town ,3/7/2023,Gold,whatsapp
27688,Pretoria,1/20/2024,SILVER,Email
29330, NULL ,6/3/2023,NULL,Email
21595, NULL ,22/03/2025,Bronze,call
36298,Cape Town,8/8/2022,NULL,Email
53437,Cape Town,1/30/2023,Gold,email
34417,Cape Town,7/29/2022,Bronze, EMAIL 
56222, cape town ,5/3/2023,NULL,call
8556,Pretoria,30/07/2024,Bronze,whatsapp
17890, NULL ,2/8/2023,Bronze, EMAIL 
24019,Johannesburg,15/02/2021,Bronze,sms
29417,Johannesburg,3/28/2021,NULL, EMAIL 
1187,Pretoria,3/1/2023,Bronze,Email
22943, cape town ,12/24/2025,Gold,whatsapp
1144,Johannesburg,2/6/2024,SILVER,Email
54185,Pretoria,14/02/2021,Bronze,Email
52227, cape town ,9/1/2024,Silver,sms
48570,Pretoria,1/24/2025,SILVER,email
